comparison,mean_diff,p_val_tukey,95%_ci_low,95%_ci_up,dof_between,dof_within,F_1way_anova,p_1way_anova
"('layer19', 'layer19')",0.0,1.0,-0.012378283,0.012378283,18,33195,5044.077351770932,0.0
"('layer19', 'layer20')",0.009283483,0.45063165,-0.0030947998,0.021661766,18,33195,5044.077351770932,0.0
"('layer19', 'layer21')",0.1545068,0.0,0.14212851,0.1668851,18,33195,5044.077351770932,0.0
"('layer19', 'layer22')",0.092276335,0.0,0.07989805,0.10465462,18,33195,5044.077351770932,0.0
"('layer19', 'layer23')",0.18050885,0.0,0.16813056,0.19288714,18,33195,5044.077351770932,0.0
"('layer19', 'layer24')",0.2785214,0.0,0.26336116,0.29368162,18,33195,5044.077351770932,0.0
"('layer19', 'layer25')",0.45640388,0.0,0.44124365,0.4715641,18,33195,5044.077351770932,0.0
"('layer19', 'layer26')",0.50748503,0.0,0.4923248,0.5226453,18,33195,5044.077351770932,0.0
"('layer19', 'layer27')",0.43391678,0.0,0.414345,0.45348856,18,33195,5044.077351770932,0.0
"('layer19', 'layer28')",0.49841216,0.0,0.47884038,0.517984,18,33195,5044.077351770932,0.0
"('layer19', 'layer29')",0.51038307,0.0,0.4908113,0.52995485,18,33195,5044.077351770932,0.0
"('layer19', 'layer30')",0.5364274,0.0,0.5168556,0.55599916,18,33195,5044.077351770932,0.0
"('layer19', 'layer31')",0.565076,0.0,0.5455042,0.5846478,18,33195,5044.077351770932,0.0
"('layer19', 'layer32')",0.5646349,0.0,0.54506314,0.5842067,18,33195,5044.077351770932,0.0
"('layer19', 'layer33a')",0.59135103,0.0,0.57177925,0.6109228,18,33195,5044.077351770932,0.0
"('layer19', 'layer34a')",0.5702839,0.0,0.5551236,0.58544415,18,33195,5044.077351770932,0.0
"('layer19', 'layer35a')",0.5980321,0.0,0.5856518,0.6104124,18,33195,5044.077351770932,0.0
"('layer19', 'layer36a')",0.5340129,0.0,0.52163464,0.5463912,18,33195,5044.077351770932,0.0
"('layer19', 'layer37')",0.50687,0.0,0.4707814,0.54295856,18,33195,5044.077351770932,0.0
