comparison,mean_diff,p_val_tukey,95%_ci_low,95%_ci_up,dof_between,dof_within,F_1way_anova,p_1way_anova
"('layer19', 'layer19')",0.0,1.0,-0.03282273,0.03282273,18,33195,267.29165646166956,0.0
"('layer19', 'layer20')",0.220782,0.0,0.18795927,0.25360474,18,33195,267.29165646166956,0.0
"('layer19', 'layer21')",0.101713546,0.0,0.06889082,0.13453628,18,33195,267.29165646166956,0.0
"('layer19', 'layer22')",-0.22101593,0.0,-0.25383866,-0.1881932,18,33195,267.29165646166956,0.0
"('layer19', 'layer23')",-0.1472127,0.0,-0.18003543,-0.11438997,18,33195,267.29165646166956,0.0
"('layer19', 'layer24')",-9.622052e-05,1.0,-0.04029569,0.04010325,18,33195,267.29165646166956,0.0
"('layer19', 'layer25')",0.010761833,0.99998814,-0.029437635,0.0509613,18,33195,267.29165646166956,0.0
"('layer19', 'layer26')",-0.19522259,0.0,-0.23542206,-0.15502311,18,33195,267.29165646166956,0.0
"('layer19', 'layer27')",0.15658943,0.0,0.104692146,0.20848672,18,33195,267.29165646166956,0.0
"('layer19', 'layer28')",0.24237183,0.0,0.19047454,0.2942691,18,33195,267.29165646166956,0.0
"('layer19', 'layer29')",0.17298296,0.0,0.12108567,0.22488025,18,33195,267.29165646166956,0.0
"('layer19', 'layer30')",0.25558206,0.0,0.20368478,0.30747935,18,33195,267.29165646166956,0.0
"('layer19', 'layer31')",0.14662725,0.0,0.09472996,0.19852453,18,33195,267.29165646166956,0.0
"('layer19', 'layer32')",-0.064542204,0.0018532571,-0.11643949,-0.012644914,18,33195,267.29165646166956,0.0
"('layer19', 'layer33a')",-0.043761373,0.2335826,-0.09565866,0.008135918,18,33195,267.29165646166956,0.0
"('layer19', 'layer34a')",-0.028261455,0.5790075,-0.06846093,0.011938013,18,33195,267.29165646166956,0.0
"('layer19', 'layer35a')",-0.083200395,0.0,-0.116028465,-0.05037232,18,33195,267.29165646166956,0.0
"('layer19', 'layer36a')",-0.04031428,0.0023479778,-0.07313701,-0.007491551,18,33195,267.29165646166956,0.0
"('layer19', 'layer37')",-0.10518372,0.014740297,-0.20087759,-0.0094898455,18,33195,267.29165646166956,0.0
"('layer20', 'layer19')",-0.220782,0.0,-0.25360474,-0.18795927,18,33195,267.29165646166956,0.0
"('layer20', 'layer20')",0.0,1.0,-0.03282273,0.03282273,18,33195,267.29165646166956,0.0
"('layer20', 'layer21')",-0.11906845,0.0,-0.15189119,-0.08624572,18,33195,267.29165646166956,0.0
"('layer20', 'layer22')",-0.4417979,0.0,-0.47462064,-0.40897518,18,33195,267.29165646166956,0.0
"('layer20', 'layer23')",-0.3679947,0.0,-0.40081742,-0.33517197,18,33195,267.29165646166956,0.0
"('layer20', 'layer24')",-0.22087821,0.0,-0.26107767,-0.18067874,18,33195,267.29165646166956,0.0
"('layer20', 'layer25')",-0.21002017,0.0,-0.25021964,-0.1698207,18,33195,267.29165646166956,0.0
"('layer20', 'layer26')",-0.4160046,0.0,-0.45620406,-0.37580514,18,33195,267.29165646166956,0.0
"('layer20', 'layer27')",-0.06419256,0.0020561318,-0.11608985,-0.012295273,18,33195,267.29165646166956,0.0
"('layer20', 'layer28')",0.02158983,0.99496883,-0.03030746,0.07348712,18,33195,267.29165646166956,0.0
"('layer20', 'layer29')",-0.047799036,0.11587977,-0.09969632,0.0040982547,18,33195,267.29165646166956,0.0
"('layer20', 'layer30')",0.034800053,0.6670502,-0.017097238,0.08669734,18,33195,267.29165646166956,0.0
"('layer20', 'layer31')",-0.07415476,8.266081e-05,-0.12605205,-0.022257466,18,33195,267.29165646166956,0.0
