comparison,mean_diff,p_val,95%_ci_low,95%_ci_up
"('V1', 'V1')",0.0,1.0,-0.005688218,0.005688218
"('V1', 'V2')",-0.25265932,0.0,-0.25834754,-0.2469711
"('V1', 'V3')",-0.08933389,0.0,-0.09502211,-0.08364567
"('V1', 'V3A')",0.1075415,0.0,0.10185328,0.11322972
"('V1', 'V3B')",0.09697825,0.0,0.09129003,0.10266647
"('V1', 'hV4')",0.11512151,0.0,0.10943329,0.120809734
"('V1', 'V7')",0.09115946,0.0,0.08547124,0.09684768
"('V1', 'MT')",0.51841766,0.0,0.51272947,0.52410585
"('V2', 'V1')",0.25265932,0.0,0.2469711,0.25834754
"('V2', 'V2')",0.0,1.0,-0.005688218,0.005688218
"('V2', 'V3')",0.16332543,0.0,0.15763721,0.16901365
"('V2', 'V3A')",0.36020082,0.0,0.3545126,0.36588904
"('V2', 'V3B')",0.34963757,0.0,0.34394935,0.3553258
"('V2', 'hV4')",0.36778083,0.0,0.3620926,0.37346905
"('V2', 'V7')",0.34381878,0.0,0.33813056,0.349507
"('V2', 'MT')",0.771077,0.0,0.7653888,0.77676517
"('V3', 'V1')",0.08933389,0.0,0.08364567,0.09502211
"('V3', 'V2')",-0.16332543,0.0,-0.16901365,-0.15763721
"('V3', 'V3')",0.0,1.0,-0.005688218,0.005688218
"('V3', 'V3A')",0.1968754,0.0,0.19118717,0.20256361
"('V3', 'V3B')",0.18631214,0.0,0.18062392,0.19200036
"('V3', 'hV4')",0.2044554,0.0,0.19876719,0.21014363
"('V3', 'V7')",0.18049335,0.0,0.17480513,0.18618158
"('V3', 'MT')",0.60775155,0.0,0.60206336,0.61343974
"('V3A', 'V1')",-0.1075415,0.0,-0.11322972,-0.10185328
"('V3A', 'V2')",-0.36020082,0.0,-0.36588904,-0.3545126
"('V3A', 'V3')",-0.1968754,0.0,-0.20256361,-0.19118717
"('V3A', 'V3A')",0.0,1.0,-0.005688218,0.005688218
"('V3A', 'V3B')",-0.010563254,5.1910604e-07,-0.016251473,-0.0048750364
"('V3A', 'hV4')",0.007580012,0.0013944829,0.0018917941,0.0132682305
"('V3A', 'V7')",-0.016382039,0.0,-0.022070257,-0.01069382
"('V3A', 'MT')",0.41087615,0.0,0.40518793,0.41656438
"('V3B', 'V1')",-0.09697825,0.0,-0.10266647,-0.09129003
"('V3B', 'V2')",-0.34963757,0.0,-0.3553258,-0.34394935
"('V3B', 'V3')",-0.18631214,0.0,-0.19200036,-0.18062392
"('V3B', 'V3A')",0.010563254,5.1910604e-07,0.0048750364,0.016251473
"('V3B', 'V3B')",0.0,1.0,-0.005688218,0.005688218
"('V3B', 'hV4')",0.018143266,0.0,0.012455048,0.023831485
"('V3B', 'V7')",-0.0058187842,0.040654305,-0.011507003,-0.0001305663
"('V3B', 'MT')",0.4214394,0.0,0.4157512,0.42712763
"('hV4', 'V1')",-0.11512151,0.0,-0.120809734,-0.10943329
"('hV4', 'V2')",-0.36778083,0.0,-0.37346905,-0.3620926
"('hV4', 'V3')",-0.2044554,0.0,-0.21014363,-0.19876719
"('hV4', 'V3A')",-0.007580012,0.0013944829,-0.0132682305,-0.0018917941
"('hV4', 'V3B')",-0.018143266,0.0,-0.023831485,-0.012455048
"('hV4', 'hV4')",0.0,1.0,-0.005688218,0.005688218
"('hV4', 'V7')",-0.02396205,0.0,-0.02965027,-0.018273832
"('hV4', 'MT')",0.40329614,0.0,0.39760792,0.40898436
"('V7', 'V1')",-0.09115946,0.0,-0.09684768,-0.08547124
"('V7', 'V2')",-0.34381878,0.0,-0.349507,-0.33813056
"('V7', 'V3')",-0.18049335,0.0,-0.18618158,-0.17480513
"('V7', 'V3A')",0.016382039,0.0,0.01069382,0.022070257
"('V7', 'V3B')",0.0058187842,0.040654305,0.0001305663,0.011507003
"('V7', 'hV4')",0.02396205,0.0,0.018273832,0.02965027
"('V7', 'V7')",0.0,1.0,-0.005688218,0.005688218
"('V7', 'MT')",0.4272582,0.0,0.42156997,0.4329464
"('MT', 'V1')",-0.51841766,0.0,-0.52410585,-0.51272947
"('MT', 'V2')",-0.771077,0.0,-0.77676517,-0.7653888
"('MT', 'V3')",-0.60775155,0.0,-0.61343974,-0.60206336
"('MT', 'V3A')",-0.41087615,0.0,-0.41656438,-0.40518793
"('MT', 'V3B')",-0.4214394,0.0,-0.42712763,-0.4157512
"('MT', 'hV4')",-0.40329614,0.0,-0.40898436,-0.39760792
"('MT', 'V7')",-0.4272582,0.0,-0.4329464,-0.42156997
"('MT', 'MT')",0.0,1.0,-0.005688218,0.005688218
